EID,FORTARGET,PROB
350,0,0.3606
562,0,0.3684
632,0,0.3741
750,0,0.4235
823,0,0.383
876,0,0.4028
987,0,0.3676
1048,0,0.3824
1098,0,0.4124
1609,0,0.3717
1615,0,0.3884
1666,0,0.37
1708,0,0.3632
1716,0,0.3791
1797,0,0.3831
2023,0,0.429
2293,0,0.3695
2320,0,0.4187
2384,0,0.3742
2821,0,0.3745
3026,0,0.393
3273,0,0.3733
3338,0,0.3839
3369,0,0.3787
3473,0,0.3827
3493,0,0.3751
3500,0,0.3557
3598,0,0.4111
3646,0,0.3742
3649,0,0.361
3728,0,0.3336
4025,0,0.3568
4090,0,0.3616
4192,0,0.4153
4527,0,0.3756
4566,0,0.379
4621,0,0.3621
4632,0,0.3703
5039,0,0.3959
5156,0,0.3678
5351,0,0.3824
5573,0,0.4064
5658,0,0.3575
5682,0,0.4018
5799,0,0.4049
5986,0,0.3395
6670,0,0.3737
6854,0,0.3612
6874,0,0.3666
7120,0,0.3805
7248,0,0.3557
7565,0,0.3824
8008,0,0.3734
8295,0,0.3678
8372,0,0.4152
8410,0,0.3662
8484,0,0.3685
8647,0,0.3674
8782,0,0.3694
8812,0,0.3749
8959,0,0.3731
9218,0,0.3628
9245,0,0.3601
9359,0,0.3697
9366,0,0.3418
9713,0,0.3749
9737,0,0.3661
9841,0,0.3603
9862,0,0.3829
9903,0,0.364
9958,0,0.3662
10001,0,0.38
10039,0,0.3666
10297,0,0.3694
10587,0,0.3939
10643,0,0.3652
10644,0,0.3357
10751,0,0.3527
10916,0,0.4181
10971,0,0.357
11065,0,0.3827
11464,1,0.51
11616,0,0.3558
11647,0,0.4171
11717,0,0.3654
11961,0,0.36
12168,0,0.3448
12404,0,0.3753
12449,0,0.3346
12497,0,0.402
12699,0,0.3839
12836,0,0.39
12937,0,0.3716
12968,0,0.3602
12980,0,0.4022
13276,0,0.3504
13533,0,0.3616
13734,0,0.3889
13911,0,0.3632
14032,0,0.3469
14157,0,0.3694
14278,0,0.3934
14331,0,0.3643
14711,0,0.3782
14827,0,0.3775
15225,0,0.3826
15459,0,0.3616
15850,0,0.3616
15872,0,0.3332
16088,0,0.3627
16565,0,0.4054
17098,0,0.3935
17415,0,0.4042
17428,0,0.3738
17918,0,0.3713
18039,0,0.4018
18477,0,0.3735
18493,0,0.3809
18873,0,0.3746
18884,0,0.3333
18918,0,0.418
19061,0,0.3643
19172,0,0.3562
19182,0,0.3824
19229,0,0.3682
19242,0,0.3645
19397,0,0.3661
19616,0,0.3749
19662,0,0.3967
19774,0,0.3693
19860,0,0.3471
19888,0,0.3939
20207,0,0.3581
20380,0,0.3839
20386,0,0.3472
20440,0,0.3693
20484,0,0.356
20865,0,0.3741
21054,0,0.3695
21103,0,0.3684
21412,0,0.357
21488,0,0.3767
21599,0,0.3632
21656,0,0.3733
21681,0,0.3642
21715,0,0.3973
21740,0,0.3475
21774,0,0.342
21897,0,0.4036
22085,0,0.3655
22223,0,0.4028
22795,0,0.3853
23049,0,0.3879
23224,0,0.4143
23267,0,0.363
23482,0,0.4143
23880,0,0.3435
24156,0,0.382
24300,0,0.3478
24797,0,0.3584
24918,0,0.4652
24919,0,0.3739
25082,0,0.4049
25167,0,0.3786
25203,0,0.3757
25246,0,0.3484
25291,0,0.3896
25292,0,0.367
25390,0,0.3845
25446,0,0.3973
25827,0,0.403
26070,0,0.3668
26118,0,0.3744
26174,0,0.3688
26248,0,0.3749
26343,0,0.3747
26414,0,0.3693
26518,0,0.3628
26642,0,0.388
26750,0,0.3426
26869,0,0.393
26910,0,0.3688
26914,0,0.4135
27192,0,0.3663
27329,0,0.3877
27454,0,0.4029
